state_no,H1,H2,H3,H4
659,8.75,6.74,60.02,60.02
660,9.32,8.93,70.07,70.07
661,9.16,8.96,64.11,64.11
662,10.65,9.37,53.23,53.23
663,22.70,8.88,30.28,30.28
664,3600,3600,44.66,44.66
665,3600,3600,3600,3600
666,3600,3600,76.74,76.74
667,3600,3600,54.32,54.32
668,3600,3600,3600,3600
669,3600,3600,26.31,26.31
670,32.80,3600,49.56,49.56
671,344.33,6.38,35.66,35.66
672,3600,32.34,35.80,35.80
673,3600,32.91,39.67,39.67
674,32.30,35.17,3600,3600
675,3600,3600,67.79,67.79
676,3600,3600,70.65,70.65
677,3600,3600,53.93,53.93
678,782.78,1000.30,62.32,62.32
679,3600,527.96,50.91,50.91
680,530.19,789.65,3600,3600
681,19.24,528.71,39.84,39.84
682,19.27,3600,59.69,59.69
683,3600,541.01,54.72,54.72
684,302.35,10.93,52.10,52.10
685,16.34,7.62,32.79,32.79
686,16.83,737.95,83.03,83.03
687,3600,3600,3600,3600
688,9.72,5.19,64.72,64.72
689,3600,3600,3600,3600
690,3.36,3600,3600,3600
691,13.76,3600,60.11,60.11
692,3600,874.39,73.63,73.63
693,3600,556.36,107.24,107.24
694,14.30,450.84,60.14,60.14
695,3600,3600,76.93,76.93
696,858.96,640.94,3600,3600
697,867.41,291.49,3600,3600
698,864.67,3600,57.86,57.86
699,892.42,3600,54.79,54.79
700,3600,3600,3600,3600
701,636.19,3600,27.13,27.13
702,10.17,3600,97.03,97.03
703,298.75,3600,3600,3600
704,375.46,3600,36.87,36.87
705,3600,3600,3600,3600
706,3600,3600,14.84,14.84
707,3600,3600,10.75,10.75
708,3600,3600,3600,3600
709,3600,3600,12.66,12.66
710,3600,3600,3600,3600
711,3600,3600,3600,3600
712,3600,3600,3600,3600
713,3600,3600,3600,3600
714,3600,3600,3600,3600
715,3600,3600,3600,3600
716,3600,3600,3600,3600
717,3600,3600,3600,3600
718,3600,3600,3600,3600
719,3600,3600,3600,3600
720,3600,3600,3600,3600
721,3600,3600,3600,3600
722,3600,3600,37.37,37.37
723,3600,3600,43.91,43.91
724,3600,3600,50.52,50.52
725,3600,3600,43.34,43.34
726,3600,3600,26.58,26.58
727,3600,3600,29.29,29.29
728,3600,3600,28.76,28.76
729,3600,3600,42.29,42.29
730,3600,3600,24.40,24.40
731,3600,3600,38.69,38.69
732,3600,3600,32.04,32.04
733,3600,3600,27.21,27.21
734,3600,3600,28.81,28.81
735,3600,3600,34.75,34.75
736,3600,3600,36.20,36.20
737,3600,3600,53.44,53.44
738,3600,3600,21.99,21.99
739,3600,3600,43.95,43.95
740,3600,3600,47.13,47.13
741,3600,3600,46.67,46.67
742,3600,3600,31.36,31.36
743,3600,3600,32.40,32.40
744,3600,3600,34.16,34.16
745,3600,3600,33.25,33.25
746,3600,3600,23.62,23.62
747,3600,3600,65.35,65.35
748,3600,3600,34.77,34.77
749,3600,3600,26.90,26.90
750,3600,3600,26.66,26.66
751,3600,3600,31.54,31.54
752,3600,3600,31.15,31.15
753,3600,3600,47.27,47.27
754,3600,3600,44.18,44.18
755,3600,3600,30.87,30.87
756,3600,3600,24.02,24.02
757,3600,3600,43.79,43.79
758,3600,3600,26.42,26.42
759,3600,3600,29.37,29.37
760,3600,3600,28.29,28.29
761,3600,3600,36.98,36.98
762,3600,3600,24.36,24.36
763,3600,3600,36.51,36.51
764,3600,3600,38.91,38.91
765,3600,3600,27.22,27.22
766,3600,3600,26.56,26.56
767,3600,3600,29.78,29.78
768,3600,3600,31.34,31.34
769,3600,3600,34.54,34.54
